Ticket_ID,Subject,Description,Category,Priority
TKT-00080,Server returns 500 error on every API call since this mornin...,Server returns 500 error on every API call since this morning. Production blocked.,Technical,High
TKT-00081,Please prioritize this. My account has been locked and I can...,Please prioritize this. My account has been locked and I cannot reset my password. Need access now!,Account Access,High
TKT-00082,Hoping someone can assist. Multi-factor authentication is br...,Hoping someone can assist. Multi-factor authentication is broken; I cannot receive any verification codes.,Account Access,High
TKT-00083,My account has been locked and I cannot reset my password. N...,My account has been locked and I cannot reset my password. Need access now! We've been waiting for days. ,Account Access,High
TKT-00084,Hoping someone can assist. I changed my email and now I can'...,Hoping someone can assist. I changed my email and now I can't verify my identity.,Account Access,Medium
TKT-00085,The entire platform is down and our team cannot access any r...,The entire platform is down and our team cannot access any resources!,Technical,High
TKT-00086,Export to CSV feature is generating corrupted files intermit...,Export to CSV feature is generating corrupted files intermittently. Looking forward to a quick resolution. ,Technical,Medium
TKT-00087,How do I disconnect a linked social media account?,How do I disconnect a linked social media account?,Account Access,Low
TKT-00088,Urgent: Is there a way to change the default font size in th...,Urgent: Is there a way to change the default font size in the dashboard? Urgent: ,Technical,Low
TKT-00089,My credit card was billed $500 instead of $50. This is urgen...,"My credit card was billed $500 instead of $50. This is urgent, please fix now!",Billing,High
TKT-00090,Can you add an option to sort tickets by creation date in as...,Can you add an option to sort tickets by creation date in ascending order?,Technical,Low
TKT-00091,This is really frustrating. Multi-factor authentication is b...,This is really frustrating. Multi-factor authentication is broken; I cannot receive any verification codes.,Account Access,High
TKT-00092,"By the way, Is there an option to set a profile picture?","By the way, Is there an option to set a profile picture?",Account Access,Low
TKT-00093,Minor typo on the settings page: 'Notifcations' instead of '...,Minor typo on the settings page: 'Notifcations' instead of 'Notifications'. Please prioritize this. ,Technical,Low
TKT-00094,The drag-and-drop feature stopped working in the latest Chro...,The drag-and-drop feature stopped working in the latest Chrome update.,Technical,Medium
TKT-00095,What are your customer support hours on weekends? Looking fo...,What are your customer support hours on weekends? Looking forward to a quick resolution. ,General Inquiry,Low
TKT-00096,I'm completely locked out after too many failed login attemp...,I'm completely locked out after too many failed login attempts. Please unlock.,Account Access,High
TKT-00097,Please note: Where can I find my account ID or customer numb...,Please note: Where can I find my account ID or customer number?,Account Access,Low
TKT-00098,Legal team requires your updated data processing agreement w...,Legal team requires your updated data processing agreement within 24 hours.,General Inquiry,High
TKT-00099,Database sync is corrupted and none of our records are loadi...,Database sync is corrupted and none of our records are loading properly.,Technical,High
TKT-00100,Are there any upcoming webinars or online events we can join...,Are there any upcoming webinars or online events we can join? Looking forward to a quick resolution. ,General Inquiry,Low
TKT-00101,Hoping someone can assist. What is the process for submittin...,Hoping someone can assist. What is the process for submitting a feature request? Urgent: ,General Inquiry,Medium
TKT-00102,"Also, Integration with our CRM completely broke after your l...","Also, Integration with our CRM completely broke after your last deployment. Dear support, ",Technical,High
TKT-00103,Our contract expires tomorrow and we haven't received the re...,Our contract expires tomorrow and we haven't received the renewal terms yet.,General Inquiry,High
TKT-00104,Need an emergency meeting with your solutions architect befo...,Need an emergency meeting with your solutions architect before our board call.,General Inquiry,High
TKT-00105,This is really frustrating. Multi-factor authentication is b...,This is really frustrating. Multi-factor authentication is broken; I cannot receive any verification codes. Hoping someone can assist. ,Account Access,High
TKT-00106,Hoping someone can assist. Why was I charged a different amo...,Hoping someone can assist. Why was I charged a different amount than what's shown on the pricing page?,Billing,Medium
TKT-00107,Please note: Where do I manage email notification preference...,Please note: Where do I manage email notification preferences?,Account Access,Low
TKT-00108,"Dear support, I want to downgrade my plan. Will I receive a ...","Dear support, I want to downgrade my plan. Will I receive a prorated refund?",Billing,Medium
TKT-00109,Can I use a passkey instead of a traditional password?,Can I use a passkey instead of a traditional password?,Account Access,Low
TKT-00110,Executive sponsor wants a migration timeline document before...,Executive sponsor wants a migration timeline document before signing the PO.,General Inquiry,High
TKT-00111,What happens to my data if I miss a payment cycle?,What happens to my data if I miss a payment cycle?,Billing,Low
TKT-00112,Where can I find the latest product documentation and releas...,Where can I find the latest product documentation and release notes?,General Inquiry,Medium
TKT-00113,"By the way, Is there an API rate-limit increase available fo...","By the way, Is there an API rate-limit increase available for our current plan?",General Inquiry,Medium
TKT-00114,Please prioritize this. Application crashes on login for all...,Please prioritize this. Application crashes on login for all users in our organization.,Technical,High
TKT-00115,This is really frustrating. What payment methods do you acce...,This is really frustrating. What payment methods do you accept besides credit cards? Please note: ,Billing,Low
TKT-00116,Why was I charged a different amount than what's shown on th...,Why was I charged a different amount than what's shown on the pricing page?,Billing,Medium
TKT-00117,"Hi team, My account has been locked and I cannot reset my pa...","Hi team, My account has been locked and I cannot reset my password. Need access now!",Account Access,High
TKT-00118,We are evaluating your product for a 5000-seat enterprise de...,We are evaluating your product for a 5000-seat enterprise deal. Need info ASAP.,General Inquiry,High
TKT-00119,"Hello, Unauthorized login detected from a foreign IP. Lock m...","Hello, Unauthorized login detected from a foreign IP. Lock my account immediately. Hi team, ",Account Access,High
TKT-00120,Multi-factor authentication is broken; I cannot receive any ...,"Multi-factor authentication is broken; I cannot receive any verification codes. Dear support, ",Account Access,High
TKT-00121,Looking forward to a quick resolution. I see a mysterious ch...,Looking forward to a quick resolution. I see a mysterious charge labeled 'premium upgrade' that I never requested.,Billing,High
TKT-00122,Are there any upcoming webinars or online events we can join...,Are there any upcoming webinars or online events we can join?,General Inquiry,Low
TKT-00123,We are evaluating your product for a 5000-seat enterprise de...,We are evaluating your product for a 5000-seat enterprise deal. Need info ASAP.,General Inquiry,High
TKT-00124,"Hi team, What new features are planned for the next product ...","Hi team, What new features are planned for the next product release? Dear support, ",General Inquiry,Medium
TKT-00125,"Hello, Just wondering when the next billing cycle starts. He...","Hello, Just wondering when the next billing cycle starts. Hello, ",Billing,Low
TKT-00126,We've been waiting for days. Can you add an option to sort t...,We've been waiting for days. Can you add an option to sort tickets by creation date in ascending order?,Technical,Low
TKT-00127,Thanks in advance. I want to downgrade my plan. Will I recei...,"Thanks in advance. I want to downgrade my plan. Will I receive a prorated refund? Hello, ",Billing,Medium
TKT-00128,Critical data loss after the latest update. We need recovery...,Critical data loss after the latest update. We need recovery immediately.,Technical,High
TKT-00129,"Also, I cancelled my plan last week but was still charged th...","Also, I cancelled my plan last week but was still charged the full annual fee today.",Billing,High
TKT-00130,Server returns 500 error on every API call since this mornin...,Server returns 500 error on every API call since this morning. Production blocked. Please note: ,Technical,High
TKT-00131,"My session keeps expiring every few minutes, forcing me to r...","My session keeps expiring every few minutes, forcing me to re-login. Appreciate your help. ",Account Access,Medium
TKT-00132,Where can I find your community forum or user group? Urgent:...,Where can I find your community forum or user group? Urgent: ,General Inquiry,Low
TKT-00133,Can you explain the extra fee on my latest invoice?,Can you explain the extra fee on my latest invoice?,Billing,Medium
TKT-00134,Password reset link expired instantly. I've tried five times...,Password reset link expired instantly. I've tried five times with no luck. Appreciate your help. ,Account Access,High
TKT-00135,Hoping someone can assist. Do you have a referral program fo...,Hoping someone can assist. Do you have a referral program for existing customers?,General Inquiry,Low
TKT-00136,Can you provide a comparison between the Pro and Enterprise ...,Can you provide a comparison between the Pro and Enterprise tiers?,General Inquiry,Medium
TKT-00137,Duplicate billing on invoice #98321. Escalate this immediate...,Duplicate billing on invoice #98321. Escalate this immediately.,Billing,High
TKT-00138,"Hi team, The discount I was promised during sign-up isn't re...","Hi team, The discount I was promised during sign-up isn't reflected on my bill.",Billing,Medium
TKT-00139,Why was I charged a different amount than what's shown on th...,Why was I charged a different amount than what's shown on the pricing page?,Billing,Medium
TKT-00140,I need to transfer ownership of this account to a colleague.,I need to transfer ownership of this account to a colleague.,Account Access,Medium
TKT-00141,Where can I find the latest product documentation and releas...,Where can I find the latest product documentation and release notes?,General Inquiry,Medium
TKT-00142,I can log in on mobile but the web app says my credentials a...,I can log in on mobile but the web app says my credentials are invalid.,Account Access,Medium
TKT-00143,File uploads fail silently when the file size exceeds 10 MB.,File uploads fail silently when the file size exceeds 10 MB.,Technical,Medium
TKT-00144,How do I update the payment method on file to a new credit c...,"How do I update the payment method on file to a new credit card? Dear support, ",Billing,Medium
TKT-00145,"Dear support, Executive sponsor wants a migration timeline d...","Dear support, Executive sponsor wants a migration timeline document before signing the PO.",General Inquiry,High
TKT-00146,Hoping someone can assist. What happens to my data if I miss...,Hoping someone can assist. What happens to my data if I miss a payment cycle? Urgent: ,Billing,Low
TKT-00147,Client-facing demo is tomorrow and the trial environment is ...,Client-facing demo is tomorrow and the trial environment is not set up yet.,General Inquiry,High
TKT-00148,"Hi team, Critical data loss after the latest update. We need...","Hi team, Critical data loss after the latest update. We need recovery immediately.",Technical,High
TKT-00149,Database sync is corrupted and none of our records are loadi...,Database sync is corrupted and none of our records are loading properly.,Technical,High
TKT-00150,"Hi team, My credit card was billed $500 instead of $50. This...","Hi team, My credit card was billed $500 instead of $50. This is urgent, please fix now!",Billing,High
TKT-00151,File uploads fail silently when the file size exceeds 10 MB.,File uploads fail silently when the file size exceeds 10 MB.,Technical,Medium
TKT-00152,"Dear support, My admin privileges were revoked and I can no ...","Dear support, My admin privileges were revoked and I can no longer manage our team. Urgent: ",Account Access,High
TKT-00153,Critical data loss after the latest update. We need recovery...,Critical data loss after the latest update. We need recovery immediately.,Technical,High
TKT-00154,This is really frustrating. Are there any upcoming webinars ...,This is really frustrating. Are there any upcoming webinars or online events we can join?,General Inquiry,Low
TKT-00155,What are your customer support hours on weekends?,What are your customer support hours on weekends?,General Inquiry,Low
TKT-00156,Urgent: Push notifications are delayed by several hours on t...,Urgent: Push notifications are delayed by several hours on the mobile app. Thanks in advance. ,Technical,Medium
TKT-00157,"Also, Can I get a breakdown of charges for the last six mont...","Also, Can I get a breakdown of charges for the last six months?",Billing,Low
TKT-00158,Are there any upcoming webinars or online events we can join...,Are there any upcoming webinars or online events we can join?,General Inquiry,Low
TKT-00159,Can you explain the extra fee on my latest invoice?,Can you explain the extra fee on my latest invoice?,Billing,Medium
TKT-00160,"Also, I changed my email and now I can't verify my identity....","Also, I changed my email and now I can't verify my identity. We've been waiting for days. ",Account Access,Medium
TKT-00161,How do I enable two-factor authentication for my account?,How do I enable two-factor authentication for my account?,Account Access,Medium
TKT-00162,Hoping someone can assist. Can you explain the extra fee on ...,Hoping someone can assist. Can you explain the extra fee on my latest invoice?,Billing,Medium
TKT-00163,Export to CSV feature is generating corrupted files intermit...,Export to CSV feature is generating corrupted files intermittently. Hoping someone can assist. ,Technical,Medium
TKT-00164,Multi-factor authentication is broken; I cannot receive any ...,Multi-factor authentication is broken; I cannot receive any verification codes.,Account Access,High
TKT-00165,"My session keeps expiring every few minutes, forcing me to r...","My session keeps expiring every few minutes, forcing me to re-login.",Account Access,Medium
TKT-00166,The dashboard loads very slowly — takes over 30 seconds ever...,The dashboard loads very slowly — takes over 30 seconds every time.,Technical,Medium
TKT-00167,"By the way, Integration with our CRM completely broke after ...","By the way, Integration with our CRM completely broke after your last deployment. FYI — ",Technical,High
TKT-00168,"Hi team, Can I change the display name shown on my profile?","Hi team, Can I change the display name shown on my profile?",Account Access,Low
TKT-00169,Please note: The SLA breach count has exceeded the threshold...,Please note: The SLA breach count has exceeded the threshold. Requesting formal review. Urgent: ,General Inquiry,High
TKT-00170,Please note: Where can I read your terms of service and priv...,Please note: Where can I read your terms of service and privacy policy?,General Inquiry,Low
TKT-00171,Is there an API rate-limit increase available for our curren...,Is there an API rate-limit increase available for our current plan?,General Inquiry,Medium
TKT-00172,We'd like to schedule a training session for our new team me...,We'd like to schedule a training session for our new team members.,General Inquiry,Medium
TKT-00173,Urgent: Can you explain the extra fee on my latest invoice?,Urgent: Can you explain the extra fee on my latest invoice?,Billing,Medium
TKT-00174,Client-facing demo is tomorrow and the trial environment is ...,Client-facing demo is tomorrow and the trial environment is not set up yet.,General Inquiry,High
TKT-00175,Reports show incorrect date ranges when timezone is set to U...,Reports show incorrect date ranges when timezone is set to UTC.,Technical,Medium
TKT-00176,"Also, I can log in on mobile but the web app says my credent...","Also, I can log in on mobile but the web app says my credentials are invalid.",Account Access,Medium
TKT-00177,Is there a mobile app available for Android? Please note: ,Is there a mobile app available for Android? Please note: ,General Inquiry,Low
TKT-00178,What new features are planned for the next product release?,What new features are planned for the next product release?,General Inquiry,Medium
TKT-00179,The dashboard loads very slowly — takes over 30 seconds ever...,The dashboard loads very slowly — takes over 30 seconds every time. Thanks in advance. ,Technical,Medium
TKT-00180,Do you have case studies from companies in the healthcare se...,Do you have case studies from companies in the healthcare sector? Appreciate your help. ,General Inquiry,Medium
TKT-00181,Unauthorized login detected from a foreign IP. Lock my accou...,Unauthorized login detected from a foreign IP. Lock my account immediately.,Account Access,High
TKT-00182,"By the way, My admin privileges were revoked and I can no lo...","By the way, My admin privileges were revoked and I can no longer manage our team.",Account Access,High
TKT-00183,Can you add an option to sort tickets by creation date in as...,"Can you add an option to sort tickets by creation date in ascending order? Hi team, ",Technical,Low
TKT-00184,Where can I find my account ID or customer number?,Where can I find my account ID or customer number?,Account Access,Low
TKT-00185,It would be nice to have dark mode support in the web app.,It would be nice to have dark mode support in the web app.,Technical,Low
TKT-00186,Where can I find my account ID or customer number?,Where can I find my account ID or customer number?,Account Access,Low
TKT-00187,"Hello, My account has been locked and I cannot reset my pass...","Hello, My account has been locked and I cannot reset my password. Need access now!",Account Access,High
TKT-00188,I can log in on mobile but the web app says my credentials a...,I can log in on mobile but the web app says my credentials are invalid. Thanks in advance. ,Account Access,Medium
TKT-00189,Can I get a breakdown of charges for the last six months?,Can I get a breakdown of charges for the last six months?,Billing,Low
TKT-00190,Can you explain the extra fee on my latest invoice?,Can you explain the extra fee on my latest invoice?,Billing,Medium
TKT-00191,"Also, Server returns 500 error on every API call since this ...","Also, Server returns 500 error on every API call since this morning. Production blocked.",Technical,High
TKT-00192,Need a copy of my invoice from last quarter for tax purposes...,Need a copy of my invoice from last quarter for tax purposes.,Billing,Medium
TKT-00193,How do I enable two-factor authentication for my account? Pl...,How do I enable two-factor authentication for my account? Please prioritize this. ,Account Access,Medium
TKT-00194,What are your customer support hours on weekends? We've been...,What are your customer support hours on weekends? We've been waiting for days. ,General Inquiry,Low
TKT-00195,Thanks in advance. I can log in on mobile but the web app sa...,Thanks in advance. I can log in on mobile but the web app says my credentials are invalid. Please note: ,Account Access,Medium
TKT-00196,Regulatory audit requires compliance documentation by end of...,Regulatory audit requires compliance documentation by end of day. Please expedite. Hoping someone can assist. ,General Inquiry,High
TKT-00197,My admin privileges were revoked and I can no longer manage ...,My admin privileges were revoked and I can no longer manage our team.,Account Access,High
TKT-00198,Payment failed but money was deducted from my bank. Need res...,Payment failed but money was deducted from my bank. Need resolution ASAP.,Billing,High
TKT-00199,The SLA breach count has exceeded the threshold. Requesting ...,The SLA breach count has exceeded the threshold. Requesting formal review.,General Inquiry,High
TKT-00200,Hoping someone can assist. I changed my email and now I can'...,Hoping someone can assist. I changed my email and now I can't verify my identity.,Account Access,Medium
TKT-00201,I changed my email and now I can't verify my identity.,I changed my email and now I can't verify my identity.,Account Access,Medium
TKT-00202,Hoping someone can assist. Our automated pipeline is failing...,Hoping someone can assist. Our automated pipeline is failing because your API endpoint is unreachable.,Technical,High
TKT-00203,The on-boarding tooltip covers the submit button on smaller ...,The on-boarding tooltip covers the submit button on smaller screens.,Technical,Low
TKT-00204,I'm completely locked out after too many failed login attemp...,I'm completely locked out after too many failed login attempts. Please unlock. Thanks in advance. ,Account Access,High
TKT-00205,Legal team requires your updated data processing agreement w...,Legal team requires your updated data processing agreement within 24 hours.,General Inquiry,High
TKT-00206,How do I enable two-factor authentication for my account?,How do I enable two-factor authentication for my account?,Account Access,Medium
TKT-00207,Are there any upcoming webinars or online events we can join...,Are there any upcoming webinars or online events we can join?,General Inquiry,Low
TKT-00208,Where can I download old receipts from my account?,Where can I download old receipts from my account?,Billing,Low
TKT-00209,Can you add an option to sort tickets by creation date in as...,Can you add an option to sort tickets by creation date in ascending order?,Technical,Low
TKT-00210,Can we get a dedicated account manager for our organization?,Can we get a dedicated account manager for our organization?,General Inquiry,Medium
TKT-00211,I forgot my password and the reset email goes to an old addr...,I forgot my password and the reset email goes to an old address. Looking forward to a quick resolution. ,Account Access,Medium
TKT-00212,Push notifications are delayed by several hours on the mobil...,Push notifications are delayed by several hours on the mobile app.,Technical,Medium
TKT-00213,I'd like to switch from monthly to annual billing. What are ...,I'd like to switch from monthly to annual billing. What are the steps?,Billing,Medium
TKT-00214,"Also, I was charged twice for my subscription this month and...","Also, I was charged twice for my subscription this month and need an immediate refund. Hello, ",Billing,High
TKT-00215,"Hi team, I'm completely locked out after too many failed log...","Hi team, I'm completely locked out after too many failed login attempts. Please unlock.",Account Access,High
TKT-00216,Appreciate your help. What payment methods do you accept bes...,Appreciate your help. What payment methods do you accept besides credit cards?,Billing,Low
TKT-00217,Need an emergency meeting with your solutions architect befo...,Need an emergency meeting with your solutions architect before our board call.,General Inquiry,High
TKT-00218,Database sync is corrupted and none of our records are loadi...,Database sync is corrupted and none of our records are loading properly.,Technical,High
TKT-00219,What new features are planned for the next product release?,What new features are planned for the next product release?,General Inquiry,Medium
TKT-00220,"Hello, Search functionality returns irrelevant results for e...","Hello, Search functionality returns irrelevant results for exact-match queries.",Technical,Medium
TKT-00221,Reports show incorrect date ranges when timezone is set to U...,Reports show incorrect date ranges when timezone is set to UTC.,Technical,Medium
TKT-00222,Push notifications are delayed by several hours on the mobil...,Push notifications are delayed by several hours on the mobile app.,Technical,Medium
TKT-00223,"Hello, Need a copy of my invoice from last quarter for tax p...","Hello, Need a copy of my invoice from last quarter for tax purposes.",Billing,Medium
TKT-00224,We've been waiting for days. What are your customer support ...,We've been waiting for days. What are your customer support hours on weekends?,General Inquiry,Low
TKT-00225,The dashboard loads very slowly — takes over 30 seconds ever...,The dashboard loads very slowly — takes over 30 seconds every time.,Technical,Medium
TKT-00226,Just wanted to say thanks — the new update is really smooth!,Just wanted to say thanks — the new update is really smooth!,General Inquiry,Low
